Mode,Nom,Catégorie,Calories,Coût total,Coût par part,Temps de préparation,Temps de cuisson,Ingrédients,Étapes,Image,URL
Mode Sans gluten,Fondant au chocolat et haricots rouges - sans gluten / sans lactose,Goûter,190 Kcal,3.1Euros€,(0.31€/part),20 min,15 min,250 gr d'haricots rouges cuits; 200 gr dechocolat; 60 gr de sucre roux; 1 c. à soupe d'huile (de coco ou autre); 3oeufs,"Dans le bol de votre blender, mettez les haricots rouges égouttés, le sucre et l'huile de coco. Mixez finement. | Faites fondre le chocolat, et ajoutez-y la purée de haricots rouges. | Ajoutez enfin les œufs battus en omelette et mélangez bien. | Versez la préparation dans le moule beurré, et faites cuire 15 minutes à 180°C. | Et voilà, votre fondant aux haricots rouges est prêt!",https://www.ptitchef.com/imgupl/recipe/fondant-au-chocolat-et-haricots-rouges-sans-gluten-sans-lactose--md-455575p707748.jpg,https://www.ptitchef.com/recettes/gouter/fondant-au-chocolat-et-haricots-rouges-fid-1570481
Mode Sans gluten,"Crêpes légères, sans gluten et sans lait",Dessert,341 Kcal,2.85Euros€,(0.71€/part),10 min,20 min,250gr de farine deriz; 500ml de lait d'amande; 3oeufs; 1 cac d'extrait devanille(ou 1 cas d'arôme de vanille Vahiné),"Dans un bol, mettre la farine et les oeufs. Mélanger. | Ajouter le lait tout en mélangeant. Ajouter l'extrait de vanille puis mélanger de nouveau. | Couvrir le bol d'un film plastique et laisser reposer environ 1 à 2h. | Mettez un peu de margarine dans votre poêle, de l'huile vierge ou de l'huile de coco, (idéalement une crêpière) préalablement mise à chauffer sur feu moyen. C'est parti pour la cuisson des crêpes : Verser une petite louche de pâte dans la poêle tout en réalisant un cercle afin de bien répartir la matière. Lorsque les bords de la crêpe commencent à se colorer, il est temps de la retourner (environ 1 à 2 minutes par face). Répéter l'opération jusqu'à ce qu'il n'y ait plus de pâte. Et voilà !",https://www.ptitchef.com/imgupl/recipe/crepes-legeres-sans-gluten-et-sans-lait--md-437301p676978.jpg,https://www.ptitchef.com/recettes/dessert/crepes-legeres-sans-gluten-et-sans-lactose-fid-1563903
Mode Sans gluten,Far breton sans gluten et sans lactose,Dessert,210 Kcal,3.62Euros€,(0.45€/part),20 min,50 min,125 gr de farine de riz; 40 gr de sucre; 3œufs; 50 cl de lait d'amande; 250 gr de pruneaux secs dénoyautés; 1 pincée de sel,"Mélangez la farine de riz, le sucre et le sel avec les œufs. | Puis ajoutez le lait d'amande petit à petit en mélangeant. | Ajoutez les pruneaux et versez le mélange dans un moule à manqué. | Faites cuire 50 minutes à 180°C. Bien laisser refroidir avant de démouler. | Et voilà, votre far breton sans gluten au et sans lactose au lait végétal est prêt !",https://www.ptitchef.com/imgupl/recipe/far-breton-sans-gluten-et-sans-lactose--md-454797p705557.jpg,https://www.ptitchef.com/recettes/dessert/far-breton-sans-gluten-et-sans-lactose-fid-1569843
Mode Sans gluten,Biscuits à la cuillère sans gluten inratables,Dessert,38 Kcal,0.56Euros€,(0.04€/part),20 min,11 min,2oeufs; 50 gr sucre; 50 gr de maïzena; sucre glace,"Séparer les blancs d’œufs des jaunes. Battre les blancs en neige en ajoutant le sucre petit à petit. | Bien ""serrer"" les blancs, en relevant le fouet, la meringue doit former ce qu'on appelle un bec d'oiseau et être bien ferme. | Ajouter les jaunes d’œufs et battre rapidement jusqu'à ce qu'ils soient bien incorporés. Ne pas battre trop longtemps. | Tamiser la maïzena sur le mélange, puis l'incorporer à l'aide d'une spatule. Mélanger délicatement en remontant la pâte sur la maïzena. | Dresser les biscuits à l'aide d'une poche à douille sur une plaque de cuisson. | Saupoudrer les biscuits de sucre glace. Patienter 2 minutes, puis saupoudrer de sucre glace à nouveau. | Cuire 11 minutes à 190°C. | Et voilà, vos biscuits cuillères sans gluten sont prêts !",https://www.ptitchef.com/imgupl/recipe/biscuits-a-la-cuillere-sans-gluten-inratables--md-453110p701842.jpg,https://www.ptitchef.com/recettes/dessert/biscuits-a-la-cuillere-ou-langues-de-chat-sans-gluten-fid-1568012
Mode Sans gluten,Flan au chocolat (sans gluten),Dessert,386 Kcal,2.69Euros€,(0.45€/part),20 min,30 min,80 cl de lait; 1 gousse devanille; 100 gr de maïzena; 1œuf; 1 jaune d’œuf; 175 gr de sucre; 20 cl de crème 30% mg; 30 gr decacaoamer en poudre,"Mettre le lait et la gousse de vanille fendue dans une casserole et faire bouillir. | Pendant ce temps, mélanger la maïzena, l’œuf et le jaune, le sucre et la crème. Ajouter le lait bouillant puis le cacao et bien mélanger. | Préchauffer le four à 180°C. Remettre le tout dans la casserole et faire épaissir à feu moyen. | Verser la préparation dans un moule beurré et mettre au four 30 min à 180°C. | C'est prêt !",https://www.ptitchef.com/imgupl/recipe/flan-au-chocolat-sans-gluten--md-458460p716550.jpg,https://www.ptitchef.com/recettes/dessert/flan-au-chocolat-sans-gluten-fid-1572971
Mode Sans gluten,"Mini clafoutis aux cerises, sans gluten",Dessert,341 Kcal,7.26Euros€,(1.81€/part),15 min,25 min,40cerisesdénoyautées; 2œufs; 50 gr de sucre; 10 gr de maïzena; 60 gr d'amandesen poudre; 75 ml de lait,"Mélangez les œufs avec le sucre. Ajoutez les amandes en poudre et la maïzena et mélangez bien pour éviter les grumeaux. Enfin, ajoutez le lait. | Beurrez les moules, et versez-y la préparation. | Ajoutez les cerises en les disposant joliment. | Cuire 25 minutes à 190°C. | Et voilà, vos mini clafoutis à la cerise sont prêts !",https://www.ptitchef.com/imgupl/recipe/mini-clafoutis-aux-cerises-sans-gluten--md-453680p703049.jpg,https://www.ptitchef.com/recettes/dessert/mini-clafoutis-aux-cerises-sans-gluten-fid-1568489
Mode Sans gluten,Pâte à choux sans gluten,Autre,135 Kcal,2.09Euros€,(0.17€/part),15 min,15 min,125 gr de maïzena; 20 cl d'eau; 100 gr de beurre; 4oeufs; 1 c. àcaféde sel; 1 c. à soupe de sucre; 1 oeuf pour la dorure,"Dans une casserole, mettre l'eau à chauffer avec le beurre et le sel. | Quand le beurre a fondu, ajouter la maïzena d'un coup, et mélanger jusqu'à ce que la pâte obtenue se détache des bords de la casserole. | Sortir du feu, et ajouter les œufs un après l'autre en mélangeant à chaque fois. Mélanger énergiquement, car l’élasticité de la pâte se forme à cette étape. S'il y a trop de grumeaux dans votre pâte, n'hésitez pas à la passer au mixeur. | A l'aide d'une poche à douille, former les choux à la taille souhaitée. Battre l’œuf et dorer les choux à l'aide d'un pinceau, en arrondissant bien leur forme. | Cuire 15 minutes à 200°C. Attention, à la fin de la cuisson, ne pas les sortir du four directement, ils risqueraient de dégonfler. Laisser la porte du four entrouverte pendant 10 minutes avant de les sortir. | Et voilà, vos choux sans gluten sont prêts à être dégustés !",https://www.ptitchef.com/imgupl/recipe/pate-a-choux-sans-gluten--md-453109p701839.jpg,https://www.ptitchef.com/recettes/autre/pate-a-choux-sans-gluten-fid-1568013
Mode Sans gluten,Fondant au chocolat gourmands et sans gluten,Dessert,382 Kcal,3.11Euros€,(0.52€/part),20 min,10 min,150 gr de chocolat noir; 100 gr de beurre; 4oeufs; 30 gr de maïzena; 90 gr de sucre,"Faire fondre le chocolat avec le beurre. Ajouter le sucre et mélanger. Puis ajouter la maïzena et mélanger en veillant à ne pas former de grumeaux. | Séparer les jaunes des blancs d’œufs. Ajouter les jaunes au mélange de chocolat et bien les incorporer. | Monter les blancs en neige ferme, et les ajouter au mélange de chocolat, en soulevant la pâte sur les blancs afin de ne pas les casser. | Verser le mélange dans les ramequins préalablement beurrés, et cuire 10 minutes à 200°C. Cuire seulement 6 à 7 minutes pour avoir un cœur coulant. | Et voilà, vos fondants au chocolats sont prêts à être dégustés.",https://www.ptitchef.com/imgupl/recipe/fondant-au-chocolat-gourmands-et-sans-gluten--md-453078p701751.jpg,https://www.ptitchef.com/recettes/dessert/fondant-au-chocolat-gourmands-et-sans-gluten-fid-1567961
Mode Sans gluten,Crèmes à la noisette (dessert vegan et sans gluten),Dessert,311 Kcal,2.02Euros€,(1.01€/part),5 min,10 min,20 cl de lait d'amande; 2 c. à soupe de maïzena; 2 c. à soupe de purée denoisettes; 1 c. àcaféde cacao en poudre; 40 gr de noisettes concassées,"Délayez la maïzena dans 8 cl de lait d'amande. | Faites chauffer le reste de lait d'amande, et ajoutez y la maïzena délayée. Ajoutez la purée de noisettes et le cacao. | Mélangez au fouet sur feu moyen. Le mélange devrait bien épaissir. Sortez du feu. | Versez la préparation dans des ramequins, et parsemez de noisettes concassées. Mettez au frais 1 heure. | Et voilà, vos crèmes à la noisette sont prêtes !",https://www.ptitchef.com/imgupl/recipe/cremes-a-la-noisette-dessert-vegan-et-sans-gluten--md-455937p708676.jpg,https://www.ptitchef.com/recettes/dessert/cremes-a-la-noisette-dessert-vegan-et-sans-gluten-fid-1570826
Mode Sans gluten,Gâteau aux bananes et pépites de chocolat - vegan et sans gluten,Dessert,323 Kcal,4.04Euros€,(0.5€/part),10 min,25 min,3bananes; 30gr de sirop d'agave; 145gr de purée de cacahuètes; 125ml de lait d'amande; 260gr de farine de riz (ou autre farine sans gluten); 1 sachet de poudre à lever; 50gr depépites de chocolat; Une pincée de sel,"Écraser les 3 bananes dans une assiette. | Les ajouter dans un saladier avec le sirop d'agave, la purée de cacahuètes et le lait d'amande. Mélanger. | Ajouter la farine de riz, la poudre à lever, la pincée de sel et les pépites de chocolat. Mélanger. | Disposer la pâte dans un moule carré et faire cuire 25 minutes à 180°C. | Piquer l'intérieur du gâteau avec la pointe d'un couteau. Si ce dernier ressort sec, le gâteau est cuit ! Sinon, le laisser cuire 2-3 minutes de plus. Bon appétit !",https://www.ptitchef.com/imgupl/recipe/gateau-aux-bananes-et-pepites-de-chocolat-vegan-et-sans-gluten--md-460799p724690.jpg,https://www.ptitchef.com/recettes/dessert/gateau-aux-bananes-et-pepites-de-chocolat-vegan-et-san-gluten-fid-1574956
